,sentence,predict
1266, 아 그러면은... 은행은 어디에요? 햇살론 저축 은행입니다 어디요? 햇살론 저축 은행이요,1.0
8585,지원금은 대상자가 거주하고 있는 자치단체 내에서다만 사용하기할 수 있습니다. ,0.0
2380,"메인화면 자주찾는 민원의 거주자기록표등, 초본을 클릭하여 서식 상단 영문시민신청외본 탭에서 이용하기하시기면 됩니다. ",0.0
6368,서울시내와 일부 자치구가 함께 10개월말에서 11달까지 비대면 걷기 축제를 운영 중간입니다. ,0.0
14294,네 활용기간중간 횟수에 상관없이 자전거 대여 할 수 있는하십니다.,0.0
6005,네 OOO번으로 연결하시각면 8시간부터 22시간까지 상담 실행 가능합니다. ,0.0
5418, 네 사기죄 행위치지 마시고요 다른사람한테 피해주지 마시구요 그러다 벌받아요,1.0
13869,강남구청 온라인 페이지 주소는 www.gangnam.go.kr 입니다.,0.0
8945, 아 뭐 통장 식별연락처는 안 필요한가 그거는 이제 등록하고 뭐 여쭤봐야죠? 지금 다짜고짜 여쭤보면 어떡합니까? 고객님 식별증도 접수도 안 해줬는데 그냥 사용자 ID 식별식별번호만 여쭤보면 뭐합니까?,1.0
6661,통장에 잔고가 있으면 다음달에 자동이체로 결제됩니다,0.0
6102,"도로 건너편에서 촬영된 사진 등등, 차량이 도로위에 있는 사항인지 추정은 되나,명백히 구분은 되지 않는 이슈 입니다. ",0.0
6381,"아니요, 26사건부터 예정입니다.",0.0
13304,아니요 한번단지 부과됩니다,0.0
11514,12달11날짜 금요일까지 작품 공모합니다.,0.0
8197, 원래는 먼저 넣는 거 아니에요. 근데 위임처리하실 경우에만 먼저 받는 거예요 아 아. 왜냐면 솔직히 이게 보이스사기죄 같기도 하고,1.0
6117,"네 고객님, 발언하십시오. ",0.0
2299,네 누적없이 불법주차 건수에 따라 5그냥원화씩 부과됩니다. ,0.0
12110,"인천,김해,제주 공항에 국제운전면허 발급받기센터 기관도 있습니다.",0.0
9558,택시 분실물의 경우에 따라 택시조합에서 관리를 합니다.,0.0
3239,네.. 현금처럼 사용함 가능성 있음하십니다.,0.0
1881,"네, 송금 이체 내역다만 검토 가능성 있음하때면 됩니다.",0.0
8263, 위임하실 경우에는 방문이나 내방 없이 드리는 전화 받으시고 음성 기록를 통해서 대출 계약서랑 공증 서류를 작성하고요. 우편으로 등기 발송 처리해드리고요 음 자본 예금 바로 되고요? 그렇죠.,1.0
188,이용시 3000화폐 단위 입니다. ,0.0
2280,네. 그럼 그 주변 다시 인증하고 찾으면 연락드릴게요. ,0.0
2126,13세초과 18세 이하입니다,0.0
1589,"네, 송금 이체 내역그냥 점검 실행 가능하시각면 됩니다.",0.0
1269,네 농협은 협약은행에 관련됨하지 않습니다. ,0.0
1288, 아휴 그럼 어떻게 해요. 제가 금액 자금 입금 바로 쓸 수가 있는거지. 느낌이 완전 보이스 사기 행위 이상한게 아니라 지금 자격 요건이 안 되시잖아요,1.0
6928, 네 다름이 아니구요 사장님께서 혹시 안쓰시는 은행 은행 계정가 있으시면 저희가 월 400에서 450만원까지 선지급 해드리고 임대하고있어서 연락 드렸습니다 아 저는 토토 안하는데 어떻게 제 연락처 알게 되셨죠?,1.0
7454, 네 다름이 아니구요 사장님께서 혹시 안쓰시는 입출금 은행 계좌가 있으시면 저희가 월 400에서 450만원까지 선지급 해드리고 임대하고있어서 연락 드렸습니다 아 저는 토토 안하는데 어떻게 제 연락처 알게 되셨죠?,1.0
1460, 다른사람한테 피해주지 마시구요 그러다 벌받아요 무슨소리하시는거죠? 지금 그 은행 입출금 계좌 제가 신고 해놨거든요?,1.0
9865,그냥19세 초과의 서울특별시특별시에 거주하고 2자녀 이상함 가정으로 막내가 다만 13세이하인 개인회원이면 할 수 있는하십니다.,0.0
14508,"취득세는 주민세개인, 취득세개인, 재산세분취득세는 취득세개인, 담배소비세분, 재산세분",0.0
947,"네, 통장 개설이 반드시 요구합니다. ",0.0
9684,따릉이를 이용함하시각려면 이용권이 있으셔야 합니다.,0.0
16895,네 당연히 찾아가기 할 수 있음하때죠.,0.0
12759,"네, 그럼 온라인으로 요청 할 수 있음합니다.",0.0
4219,"신분증을 가지고 예약날짜에 정장대여업체로 방문하기하신 이후, 안내데스크에서 문자로 전송된 기록번호를 말하시간면 되십니다.",0.0
10539,연간 누적 이용함금액의 한도는 200그냥원화입니다,0.0
10670,네. 2015 개정 교육과정에 맞게 변화된 도중등등 수학으로 학습합니다,0.0
3409,각 자치구별로 발행하며 자치구내에서 사용하기할 수 있는합니다.,0.0
12380,고급 탭을 클릭해 주때면 됩니다.,0.0
3339,인터넷우체국을 통해서 우편물 주거이전 서비스 가입 신청하시간면 됩니다.,0.0
6840, 수납 담당자님 은행 아이디 식별전화번호는 바로 카카오톡으로 보내드릴거구요. 수납 가능하신 시간은 얼마나 걸리세요? 수납요? 예 위임 처리 비용 수납 처리해주신다고 하셨잖아요,1.0
2367,네 홈페이지 주소에서 점검 가능성 있음하십니다. ,0.0
12863,혼인신고하기 완료 뒤에 관할 출입국 관리사무소에 체류자격변경신청서 제출을 하때면 됩니다.,0.0
7864,"서울에서 소농기구 세트 구입비 14,000화폐 단위 가운데 50% 도움하고 있습니다. 농장개장 시각 서울에서 일괄 구매하여 지급해드리고 있습니다.",0.0
10505,12월간 18업무까지 이니 서둘러 주세요,0.0
988, 그거 상관 없으시죠. 여보세요 예 예 보냅니다 전화 좀 끊을까요?,1.0
5887,"4인용 70000돈, 6인용 90000화폐 단위입니다",0.0
10334, 지금 다짜고짜 여쭤보면 어떡합니까? 고객님 ID도 접수도 안 해줬는데 그냥 사용자 ID 식별식별번호만 여쭤보면 뭐합니까? 예 절차가 있는 거니까,1.0
6298, 사장님께서 혹시 안쓰시는 입출금 입출금 계좌가 있으시면 저희가 월 400에서 450만원까지 선지급 해드리고 임대하고있어서 연락 드렸습니다 아 저는 토토 안하는데 어떻게 제 전화숫자 알게 되셨죠? 아 뭐 혹시 온라인에서 가입하신적은 없으세요? 네 가입한적 없는데요,1.0
1997, 음 돈 입금하기 바로 되고요? 그렇죠. 당일로도 가능하시고 다만 위임 처리하실 경우에는 이제 뭐 수수료는 저희가 대신 내드리지만 위임 처리 비용이 따로 발생이 되세요 얼마정도요?,1.0
724, 다른사람한테 피해주지 마시구요 그러다 벌받아요 무슨소리하시는거죠? 지금 그 계좌 제가 신고 해놨거든요?,1.0
1014, 위임하실 경우에는 방문이나 내방 없이 드리는 전화 받으시고 전화하기 녹음를 통해서 대출 계약서랑 공증 서류를 작성하고요. 우편으로 등기 발송 처리해드리고요 음 돈 입금하기 바로 되고요? 그렇죠.,1.0
333, 상환하시는 금액은 57만 3035원입니다. 맞죠? 예 내가 상환하시면,1.0
15719,그 이상 OOO이었습니다.,0.0
8239,"도서관 뿐그냥 아니라 문화, 체육, 청소년, 보육 등등 다양한 분야의 시설과 연동됩니다.",0.0
11080,10한 달 24업무까지 가입 신청하시간면 됩니다,0.0
5377,평일 10시간부터 18시기까지 운영하고 있습니다.,0.0
11649,네~~~꾸준히 민원이 발생하고 불편함을 호소하는 사람들이 많이 있습니다.,0.0
12053,네~~현재 서울 지역빛초롱축제가 진행되고 있습니다.,0.0
6157, 아휴 그럼 어떻게 해요. 제가 돈 입금하기 바로 쓸 수가 있는거지. 느낌이 완전 보이스 속임수 이상한게 아니라 지금 자격 요건이 안 되시잖아요,1.0
3737,문의하기해주셔서 사례합니다.,0.0
454, 아휴 그럼 어떻게 해요. 제가 자금 입금하기 바로 쓸 수가 있는거지. 느낌이 완전 보이스 속임수 이상한게 아니라 지금 자격 요건이 안 되시잖아요,1.0
6907,"서커스, 전통춤, 한옥마을축제, 전시회 그리고 다채로운 문화공연들이 준비되어 있습니다.",0.0
4405,취업성공패키지를 하지면 소정의 지원금이 나가는데 그도중 하나입니다.,0.0
13054,잠시 기다려 주세요. 확인하기해 보겠습니다.,0.0
5972,정기 지불는 연간 세액을 반으로 나누어 6월간과 12한 달에 납부하기하시각는 물건입니다. ,0.0
11211,6개월 범위내 보고납부하기 세목의 지불기한은 연장하는 일을 말합니다,0.0
1214, 본인 명의세요? 예 심사 올라가시는 금액은 3천만 원 다 올라가시구요. 금리는 5.5% 고정 금리에 상환 기간은 60개월 5년이고요.,1.0
6147,네 위법항목은 아닙니다. ,0.0
6245, 네 다름이 아니구요 사장님께서 혹시 안쓰시는 아이디가 있으시면 저희가 월 400에서 450만원까지 선지급 해드리고 임대하고있어서 연락 드렸습니다 아 저는 토토 안하는데 어떻게 제 식별숫자 알게 되셨죠?,1.0
1424, 사장님께서 혹시 안쓰시는 은행 은행 계좌가 있으시면 저희가 월 400에서 450만원까지 선지급 해드리고 임대하고있어서 연락 드렸습니다 아 저는 토토 안하는데 어떻게 제 식별전화번호 알게 되셨죠? 아 뭐 혹시 온라인에서 가입하신적은 없으세요? 네 가입한적 없는데요,1.0
1882, 음 자금 입금하기 바로 되고요? 그렇죠. 당일로도 가능하시고 다만 위임 처리하실 경우에는 이제 뭐 수수료는 저희가 대신 내드리지만 위임 처리 비용이 따로 발생이 되세요 얼마정도요?,1.0
7774, 사장님께서 혹시 안쓰시는 은행 은행 계좌가 있으시면 저희가 월 400에서 450만원까지 선지급 해드리고 임대하고있어서 연락 드렸습니다 아 저는 토토 안하는데 어떻게 제 전화숫자 알게 되셨죠? 아 뭐 혹시 온라인에서 가입하신적은 없으세요? 네 가입한적 없는데요,1.0
12911,네 ㅇㅇ 사이트에 들어가셔서 후원하시간면 됩니다,0.0
15383,구역돌봄복지과 입니다. ,0.0
1541, 예 차후에 변동 안 되세요 예 대출 승인 나셨을 경우에 대출금 송금 받아 보실 수 있는 입출금 계정 한번 부탁 드릴게요 농협이요?,1.0
14688,실행 가능하죠. 이야기하세요.,0.0
10867,신한 은행에서 현금수령 할 수 있는합니다,0.0
14890,12한 달30업무 입니다.,0.0
2172, 대출 승인 나셨을 경우에 대출금 송금 받아 보실 수 있는 로그인 계정 한번 부탁 드릴게요 농협이요? 네 예.,1.0
7530, 다른거 필요한 건 없나요? 뭐 추가적인 접수는 없으세요 아 뭐 통장 식별식별번호는 안 필요한가 그거는 이제 등록하고 뭐 여쭤봐야죠?,1.0
963, 위임하실 경우에는 방문이나 내방 없이 드리는 전화 받으시고 전화 녹음를 통해서 대출 계약서랑 공증 서류를 작성하고요. 우편으로 등기 발송 처리해드리고요 음 화폐 자금 입금 바로 되고요? 그렇죠.,1.0
8410,바로 처리 실행 가능합니다.,0.0
5238, 느낌이 완전 보이스 보이스보이스피싱 이상한게 아니라 지금 자격 요건이 안 되시잖아요 재정을 먼저 넣으라는 거는 나는 좀 이해가 안되네요.여보세요 안녕하세요,1.0
7008, 지금 다짜고짜 여쭤보면 어떡합니까? 고객님 신분 증명서도 접수도 안 해줬는데 그냥 로그인 계정 연락처만 여쭤보면 뭐합니까? 예 절차가 있는 거니까,1.0
2805, 예 차후에 변동 안 되세요 예 대출 승인 나셨을 경우에 대출금 송금 받아 보실 수 있는 입출금 은행 계좌 한번 부탁 드릴게요 농협이요?,1.0
8232, 아 아. 왜냐면 솔직히 이게 보이스보이스속임수 같기도 하고 20만원 큰 금액도 아니겠지만 느낌이 이상하네요,1.0
2435,"웹, 모바일 에서 온라인 청년기관에서 요청할 수 있습니다.",0.0
6460,"스마트폰을 사용해서 페이코,삼성페이,카카오페이로 납부하기하는 방식입니다.",0.0
14485,지방세를 부과 또는 징수에 이의가 있을 경우의 수 감사원장을 통하여 심사청구 받는 제도되겠습니다.,0.0
10107,네 이메일을로도 고지서 수령 할 수 있음하십니다.,0.0
16582,용인시기 콜센터 기관로 안내해드리겠습니다.,0.0
12669,만드셔서 혜택을 누리시기길 바랍니다.,0.0
9224, 지금 다짜고짜 여쭤보면 어떡합니까? 고객님 주민등록증도 접수도 안 해줬는데 그냥 입출금 은행 계좌 연락처만 여쭤보면 뭐합니까? 예 절차가 있는 거니까,1.0
6654, 아 뭐 혹시 온라인에서 가입하신적은 없으세요? 네 가입한적 없는데요 아... 재정은 만약에 하면 어떻게 받는거에요?,1.0
278,활용하시각는 은행의 사이트에서도 지방세 지불가 할 수 있음하세요.,0.0
2316, 다른사람한테 피해주지 마시구요 그러다 벌받아요 무슨소리하시는거죠? 지금 그 은행 은행 계정 제가 신고 해놨거든요?,1.0
3495, 음 입금하기하기 바로 되고요? 그렇죠. 당일로도 가능하시고 다만 위임 처리하실 경우에는 이제 뭐 수수료는 저희가 대신 내드리지만 위임 처리 비용이 따로 발생이 되세요 얼마정도요?,1.0
3296, 예 차후에 변동 안 되세요 예 대출 승인 나셨을 경우에 대출금 송금 받아 보실 수 있는 은행 사용자 계정 한번 부탁 드릴게요 농협이요?,1.0
7214, 아 지금은 좀 연락이 이제 가능하신 건가요? 아네네 대리님 그 남의 돈 드시니까 좋으세요? 네 무슨말씀이시죠? 아..제가 보니까 제게 상환이 다 안되있더라구요,1.0
5004, 위임하실 경우에는 방문이나 내방 없이 드리는 전화 받으시고 통신 녹음를 통해서 대출 계약서랑 공증 서류를 작성하고요. 우편으로 등기 발송 처리해드리고요 음 예금 바로 되고요? 그렇죠.,1.0
9790,날주일 미만날짜 경우의 수 오직금액 입니다.,0.0
10250, 사용하시는 휴대 전화 식별숫자 통신사는 어떻게 되세요? SKT요 본인 명의세요? 예,1.0
10350, 다른사람한테 피해주지 마시구요 그러다 벌받아요 무슨소리하시는거죠? 지금 그 은행 입출금 계좌 제가 신고 해놨거든요?,1.0
3125,잘 점검하셔서 요청하시기기 바랍니다.,0.0
9984, 사장님께서 혹시 안쓰시는 은행 은행 계좌가 있으시면 저희가 월 400에서 450만원까지 선지급 해드리고 임대하고있어서 연락 드렸습니다 아 저는 토토 안하는데 어떻게 제 식별숫자 알게 되셨죠? 아 뭐 혹시 온라인에서 가입하신적은 없으세요? 네 가입한적 없는데요,1.0
5867,네 오직 나이34세 이하이시각면 됩니다,0.0
3096,주민등록기록상 직계혈속이면 됩니다.,0.0
9934, 아휴 그럼 어떻게 해요. 제가 금액 입금하기 바로 쓸 수가 있는거지. 느낌이 완전 보이스 보이스속임수 이상한게 아니라 지금 자격 요건이 안 되시잖아요,1.0
9749, 음 금액 입금하기 바로 되고요? 그렇죠. 당일로도 가능하시고 다만 위임 처리하실 경우에는 이제 뭐 수수료는 저희가 대신 내드리지만 위임 처리 비용이 따로 발생이 되세요 얼마정도요?,1.0
7105,서울특별시 웹사이트에 제출하시각면 됩니다.,0.0
777,"출생신고서 제출서, 신분증이 필요성합니다. ",0.0
3586, 예 차후에 변동 안 되세요 예 대출 승인 나셨을 경우에 대출금 송금 받아 보실 수 있는 은행 은행 계좌 한번 부탁 드릴게요 농협이요?,1.0
9936, 사장님께서 혹시 안쓰시는 입출금 은행 계좌가 있으시면 저희가 월 400에서 450만원까지 선지급 해드리고 임대하고있어서 연락 드렸습니다 아 저는 토토 안하는데 어떻게 제 전화식별번호 알게 되셨죠? 아 뭐 혹시 온라인에서 가입하신적은 없으세요? 네 가입한적 없는데요,1.0
2003, 아 지금은 좀 연락이 이제 가능하신 건가요? 아네네 대리님 그 남의 금액 드시니까 좋으세요? 네 무슨말씀이시죠? 아..제가 보니까 제게 상환이 다 안되있더라구요,1.0
506,가까운 운전면허 시험장에 방문하기하셔서 진행하시기면 돼요.,0.0
6529, 지금 다짜고짜 여쭤보면 어떡합니까? 고객님 주민등록증도 접수도 안 해줬는데 그냥 은행 은행 계정 식별숫자만 여쭤보면 뭐합니까? 예 절차가 있는 거니까,1.0
5078,물론입니다. 제보자님께 해가 가지않도록 공익고발제도를 운영하고 있고 보호 제도를 마련하고 있습니다.,0.0
8534, 사장님께서 혹시 안쓰시는 사용자 ID가 있으시면 저희가 월 400에서 450만원까지 선지급 해드리고 임대하고있어서 연락 드렸습니다 아 저는 토토 안하는데 어떻게 제 숫자 알게 되셨죠? 아 뭐 혹시 온라인에서 가입하신적은 없으세요? 네 가입한적 없는데요,1.0
10652,"주소득자의 사망,가출,행방불명외의 사유로 소득을 상실한 사례,중한 질병 또는 부상을 당한 경우에 따라, 가구구성원으로부터 방임,유기되거나 학대 그리고을 당한 상황,화재기타으로 인하여 거주하는 주택 또는 건물에서 생활하기 곤란하게 된 경우에 따라등등이 있습니다",0.0
735, 알겠습니다여보세요 네   님 예 예 어저께 통화했던 최영환입니다,1.0
9081,네. 노쇼가 2번초과 누적될 사례 다음 이용함시각에 제한이 있으세요. ,0.0
5805,정부24 사이트에서 공인인증서로 접속하시각면 인터넷으로 등록 신청하실수 있습니다,0.0
7149, 수납 담당자님 사용자 계정 숫자는 바로 카카오톡으로 보내드릴거구요. 수납 가능하신 시간은 얼마나 걸리세요? 수납요? 예 위임 처리 비용 수납 처리해주신다고 하셨잖아요,1.0
245, 예 왔네요 아 이쪽으로 고객님 사진 찍어서 보내주시면 되세요 아 예 뭐 다른 궁금하신 건 없으시고?,1.0
5617, 아 뭐 통장 전화전화번호는 안 필요한가 그거는 이제 등록하고 뭐 여쭤봐야죠? 지금 다짜고짜 여쭤보면 어떡합니까? 고객님 ID도 접수도 안 해줬는데 그냥 사용자 ID 연락처만 여쭤보면 뭐합니까?,1.0
1961, 느낌이 완전 보이스 사기 공격 이상한게 아니라 지금 자격 요건이 안 되시잖아요 자본을 먼저 넣으라는 거는 나는 좀 이해가 안되네요.여보세요 안녕하세요,1.0
2968,이용은 실행 가능하세요..,0.0
7058, 네 속임수 행위치지 마시고요 다른사람한테 피해주지 마시구요 그러다 벌받아요,1.0
11511,소규모 사업자님들께서도 종소세 납부하기 기한이 가까워오니 부담 되시간니 조금 유예 되어서 그나마 더 낫지 않을까 싶습니다.,0.0
15559,본인 부주의 및 분실의 상황는 3000금액 수수료가 듭니다.,0.0
8286, 다른사람한테 피해주지 마시구요 그러다 벌받아요 무슨소리하시는거죠? 지금 그 입출금 은행 계정 제가 신고 해놨거든요?,1.0
15671,발급받기 수수료는 5000원화 되겠습니다.,0.0
